"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","id","cp","profundidade_maxima","Acuracia_Media","Sensibilidade_Media","Especificidade_Media","Precisao_Media","F1_Media","MCC_Media","ROC_AUC_Media","Brier_Media","Log_Loss_Media","Acuracia_Balanceada_Media","Posicao","Selecionada"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,2,"arvore_cp_0.005_profundidade_5",0.005,5,0.776800411522634,0.684684684684685,0.855003523608175,0.798292220113852,0.736596635711253,0.550490604784243,0.816343827971735,0.172574490678759,0.538558894750917,0.76984410414643,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,2,"arvore_cp_0.01_profundidade_3",0.01,3,0.776800411522634,0.684684684684685,0.855003523608175,0.798292220113852,0.736596635711253,0.550490604784243,0.816343827971735,0.172574490678759,0.538558894750917,0.76984410414643,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,2,"arvore_cp_0.01_profundidade_5",0.01,5,0.776800411522634,0.684684684684685,0.855003523608175,0.798292220113852,0.736596635711253,0.550490604784243,0.816343827971735,0.172574490678759,0.538558894750917,0.76984410414643,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,2,"arvore_cp_0.02_profundidade_3",0.02,3,0.776800411522634,0.684684684684685,0.855003523608175,0.798292220113852,0.736596635711253,0.550490604784243,0.816343827971735,0.172574490678759,0.538558894750917,0.76984410414643,5,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,2,"arvore_cp_0.02_profundidade_5",0.02,5,0.776800411522634,0.684684684684685,0.855003523608175,0.798292220113852,0.736596635711253,0.550490604784243,0.816343827971735,0.172574490678759,0.538558894750917,0.76984410414643,6,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,3,"arvore_cp_0.005_profundidade_3",0.005,3,0.768724279835391,0.72972972972973,0.801444679351656,0.759919028340081,0.741963864886096,0.535762309419759,0.818736548387711,0.18272739793925,0.565468247203841,0.765587204540693,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,3,"arvore_cp_0.005_profundidade_5",0.005,5,0.768724279835391,0.72972972972973,0.801444679351656,0.759919028340081,0.741963864886096,0.535762309419759,0.818736548387711,0.18272739793925,0.565468247203841,0.765587204540693,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,3,"arvore_cp_0.01_profundidade_3",0.01,3,0.768724279835391,0.72972972972973,0.801444679351656,0.759919028340081,0.741963864886096,0.535762309419759,0.818736548387711,0.18272739793925,0.565468247203841,0.765587204540693,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,3,"arvore_cp_0.01_profundidade_5",0.01,5,0.768724279835391,0.72972972972973,0.801444679351656,0.759919028340081,0.741963864886096,0.535762309419759,0.818736548387711,0.18272739793925,0.565468247203841,0.765587204540693,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",2,3,"arvore_cp_0.02_profundidade_3",0.02,3,0.768724279835391,0.72972972972973,0.801444679351656,0.759919028340081,0.741963864886096,0.535762309419759,0.818736548387711,0.18272739793925,0.565468247203841,0.765587204540693,5,FALSE
