"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","laplace","usar_kernel","ajuste","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,1,2,11310202,"kde",1,TRUE,1,0.802469135802469,0.783783783783784,0.818181818181818,0.783783783783784,0.783783783783784,0.601965601965602,0.885749385749386,0.165296207510843,0.697962258789229,0.800982800982801,29,36,8,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,1,3,11310203,"kde",1,TRUE,1,0.825,0.837837837837838,0.813953488372093,0.794871794871795,0.815789473684211,0.650158784319514,0.908233815210559,0.140497631652134,0.511382005352366,0.825895663104965,31,35,8,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,2,1,11320101,"gaussiano",1,FALSE,NA,0.827160493827161,0.756756756756757,0.886363636363636,0.848484848484849,0.8,0.651991438290565,0.923832923832924,0.124820444741697,0.474133098602617,0.821560196560197,28,39,5,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,2,2,11320102,"gaussiano",1,FALSE,NA,0.765432098765432,0.864864864864865,0.681818181818182,0.695652173913043,0.771084337349398,0.549730544693388,0.881449631449631,0.179576504361064,0.761057451456616,0.773341523341523,32,30,14,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,2,3,11320103,"gaussiano",1,FALSE,NA,0.864197530864197,0.763157894736842,0.953488372093023,0.935483870967742,0.840579710144927,0.73580887177256,0.935128518971848,0.104762717553052,0.351720517993208,0.858323133414933,29,41,2,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,2,1,11320201,"kde",1,TRUE,1,0.802469135802469,0.72972972972973,0.863636363636364,0.818181818181818,0.771428571428571,0.601550839912785,0.917690417690418,0.135418705352126,0.468004712858643,0.796683046683047,27,38,6,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,2,2,11320202,"kde",1,TRUE,1,0.753086419753086,0.837837837837838,0.681818181818182,0.688888888888889,0.75609756097561,0.52093754076273,0.858722358722359,0.187949321674474,0.794763477846533,0.75982800982801,31,30,14,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,2,3,11320203,"kde",1,TRUE,1,0.864197530864197,0.763157894736842,0.953488372093023,0.935483870967742,0.840579710144927,0.73580887177256,0.946756425948592,0.0993773516126707,0.308297387840087,0.858323133414933,29,41,2,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,3,1,11330101,"gaussiano",1,FALSE,NA,0.8375,0.810810810810811,0.86046511627907,0.833333333333333,0.821917808219178,0.672757540586995,0.880578252671276,0.137538030819441,0.576290296923662,0.83563796354494,30,37,6,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,3,2,11330102,"gaussiano",1,FALSE,NA,0.839506172839506,0.810810810810811,0.863636363636364,0.833333333333333,0.821917808219178,0.676110425245246,0.9502457002457,0.111242945656658,0.327334291578491,0.837223587223587,30,38,6,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,3,3,11330103,"gaussiano",1,FALSE,NA,0.827160493827161,0.783783783783784,0.863636363636364,0.828571428571429,0.805555555555556,0.651029206861608,0.875921375921376,0.154033264578375,0.741819725368682,0.823710073710074,29,38,6,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,3,1,11330201,"kde",1,TRUE,1,0.8125,0.810810810810811,0.813953488372093,0.789473684210526,0.8,0.623784890681062,0.865493400377121,0.153979811308116,0.610371790746873,0.812382149591452,30,35,8,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",3,3,2,11330202,"kde",1,TRUE,1,0.864197530864197,0.810810810810811,0.909090909090909,0.882352941176471,0.845070422535211,0.72662782414489,0.952702702702703,0.10863461277657,0.324895843850839,0.85995085995086,30,40,4,7,0,0
