"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","numero_arvores","variaveis_por_divisao","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,4,3,13140403,"rf_500_arvores_mtry_4",500,4,0.802469135802469,0.702702702702703,0.886363636363636,0.838709677419355,0.764705882352941,0.603706091258267,0.907862407862408,0.12694969691358,0.396915417308636,0.79453316953317,26,39,5,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,1,13150101,"rf_300_arvores_mtry_3",300,3,0.839506172839506,0.756756756756757,0.909090909090909,0.875,0.811594202898551,0.678467506036014,0.909090909090909,0.120366119189885,0.386661303332313,0.832923832923833,28,40,4,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,2,13150102,"rf_300_arvores_mtry_3",300,3,0.8625,0.72972972972973,0.976744186046512,0.964285714285714,0.830769230769231,0.738500058280303,0.928975487115022,0.11421577295706,0.369688452773929,0.853236957888121,27,42,1,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,3,13150103,"rf_300_arvores_mtry_3",300,3,0.814814814814815,0.837837837837838,0.795454545454545,0.775,0.805194805194805,0.630971206087289,0.901719901719902,0.133649970398993,0.424218333832094,0.816646191646192,31,35,9,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,1,13150201,"rf_500_arvores_mtry_3",500,3,0.851851851851852,0.783783783783784,0.909090909090909,0.878787878787879,0.828571428571429,0.702432036668345,0.906019656019656,0.122023508804487,0.391084117059566,0.846437346437346,29,40,4,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,2,13150202,"rf_500_arvores_mtry_3",500,3,0.875,0.756756756756757,0.976744186046512,0.96551724137931,0.848484848484849,0.760767023468354,0.932118164676304,0.113309611260255,0.366573352618726,0.866750471401634,28,42,1,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,3,13150203,"rf_500_arvores_mtry_3",500,3,0.839506172839506,0.891891891891892,0.795454545454545,0.785714285714286,0.835443037974684,0.685245098166229,0.900491400491401,0.133548524994855,0.428402953071469,0.843673218673219,33,35,9,4,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,1,13150301,"rf_300_arvores_mtry_4",300,4,0.827160493827161,0.756756756756757,0.886363636363636,0.848484848484849,0.8,0.651991438290565,0.886977886977887,0.127591444708645,0.405671239720738,0.821560196560197,28,39,5,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,2,13150302,"rf_300_arvores_mtry_4",300,4,0.875,0.756756756756757,0.976744186046512,0.96551724137931,0.848484848484849,0.760767023468354,0.922061596480201,0.114305764322917,0.373107275729295,0.866750471401634,28,42,1,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,3,13150303,"rf_300_arvores_mtry_4",300,4,0.790123456790123,0.837837837837838,0.75,0.738095238095238,0.784810126582278,0.586040713981306,0.901105651105651,0.131201556749479,0.417004752646807,0.793918918918919,31,33,11,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,1,13150401,"rf_500_arvores_mtry_4",500,4,0.827160493827161,0.72972972972973,0.909090909090909,0.870967741935484,0.794117647058823,0.654696908142438,0.903562653562654,0.121507233257468,0.389286769377645,0.819410319410319,27,40,4,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,2,13150402,"rf_500_arvores_mtry_4",500,4,0.875,0.756756756756757,0.976744186046512,0.96551724137931,0.848484848484849,0.760767023468354,0.927089880578253,0.114737847722222,0.370622285794262,0.866750471401634,28,42,1,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,3,13150403,"rf_500_arvores_mtry_4",500,4,0.827160493827161,0.864864864864865,0.795454545454545,0.780487804878049,0.82051282051282,0.657899172205466,0.900491400491401,0.133065000306455,0.424190634547644,0.830159705159705,32,35,9,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,1,13210101,"rf_300_arvores_mtry_3",300,3,0.839506172839506,0.810810810810811,0.863636363636364,0.833333333333333,0.821917808219178,0.676110425245246,0.934889434889435,0.10653969402035,0.34473902131164,0.837223587223587,30,38,6,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,2,13210102,"rf_300_arvores_mtry_3",300,3,0.827160493827161,0.837837837837838,0.818181818181818,0.794871794871795,0.815789473684211,0.654014088330234,0.899262899262899,0.128523183653915,0.407259076688851,0.828009828009828,31,36,8,6,0,0
